,uniqueid,year,treat,returnyear,groupid,doctoral_graduation_year,post,treat_post,gender,cohort,discipline,bachelor_university,doctoral_university,region_bf_rcrt,doc_region,num_of_pub,q12_num,q1_num,top10_num,fa_pub,fa_q12pub,fa_q1pub,fa_top10pub,la_pub,la_q12pub,la_q1pub,la_top10pub,teamsize,teamsize_nlg,grant,grant_nlg,pi,alumni,recruit_institution,recruit_type,phd_overall_rank,phd_field_rank,bc_overall_rank,recruit_position,top10_productivity,year_index,counterfactual_num_of_pub,counterfactual_top10_num,counterfactual_fa_pub,counterfactual_fa_q1pub,counterfactual_la_pub,counterfactual_la_q1pub
18,1_1,2009,1,2011,1,2006,0,0,Male,1,PHYSICS AND MATHEMATICS,Peking University,Columbia University,USA,USA,3.0,3,3,2.0,1.0,1,1.0,1,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,Fudan University,C9?CAS,21,48,5.0,Professor,1.0,-2,2.6258902938938307,2.485899972792338,0.705906322070839,0.5835285483119861,0.0,0.0
19,1_1,2010,1,2011,1,2006,0,0,Male,1,PHYSICS AND MATHEMATICS,Peking University,Columbia University,USA,USA,3.0,3,3,3.0,2.0,2,2.0,2,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,Fudan University,C9?CAS,21,48,5.0,Professor,1.0,-1,2.8770341012098055,2.5741351294232695,0.645667886138981,0.5396383921425851,0.0,0.08614111817026915
20,1_1,2013,1,2011,1,2006,1,1,Male,1,PHYSICS AND MATHEMATICS,Peking University,Columbia University,USA,USA,1.0,1,1,1.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,122816.59,486718.88,0.0,0,Fudan University,C9?CAS,21,48,5.0,Professor,1.0,2,3.093520108628764,2.711032244562276,0.4597992268905448,0.4136455800197554,0.02002586571612186,0.15763696980143904
21,1_1,2008,1,2011,1,2006,0,0,Male,1,PHYSICS AND MATHEMATICS,Peking University,Columbia University,USA,USA,12.0,9,7,7.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,Fudan University,C9?CAS,21,48,5.0,Professor,1.0,-3,2.511076244403291,2.5501862678565312,0.7313079694882508,0.5909495761269338,0.0,0.0
22,1_1,2018,1,2011,1,2006,1,1,Male,1,PHYSICS AND MATHEMATICS,Peking University,Columbia University,USA,USA,4.0,4,2,2.0,1.0,1,0.0,0,1.0,1,1.0,1,8,13,629202.63,646118.06,0.0,0,Fudan University,C9?CAS,21,48,5.0,Professor,1.0,7,5.489374329985502,3.919875109941605,0.18907669908138475,0.11554675193372102,1.554585673844662,1.329248774799864
23,1_1,2015,1,2011,1,2006,1,1,Male,1,PHYSICS AND MATHEMATICS,Peking University,Columbia University,USA,USA,6.0,6,6,6.0,0.0,0,0.0,0,2.0,2,2.0,2,6,15,460691.81,426247.75,0.0,0,Fudan University,C9?CAS,21,48,5.0,Professor,1.0,4,4.0520130080248045,3.1502508378543683,0.22269432085333157,0.19262210011761807,0.7501094685686085,0.7723353508792391
24,1_1,2019,1,2011,1,2006,1,1,Male,1,PHYSICS AND MATHEMATICS,Peking University,Columbia University,USA,USA,4.0,4,4,4.0,0.0,0,0.0,0,2.0,2,2.0,2,13,6,540028.13,683563.06,0.0,0,Fudan University,C9?CAS,21,48,5.0,Professor,1.0,8,5.813690162928788,4.051204321001981,0.1320554763357153,0.09117481431481747,1.7398809927251564,1.4949258896444606
25,1_1,2016,1,2011,1,2006,1,1,Male,1,PHYSICS AND MATHEMATICS,Peking University,Columbia University,USA,USA,8.0,8,8,7.0,0.0,0,0.0,0,3.0,3,3.0,3,15,10,447063.94,682486.44,0.0,0,Fudan University,C9?CAS,21,48,5.0,Professor,1.0,5,4.608538557285125,3.551925182688887,0.20415796775413647,0.15536720316776512,1.1211808314641174,1.0934779784593518
26,0_2,2016,0,2012,4,2007,1,0,Male,1,PHYSICS AND MATHEMATICS,Peking University,Princeton University,,USA,2.0,1,1,1.0,2.0,1,1.0,1,0.0,0,0.0,0,0,0,105440.33,62500.125,,0,,,113,26,5.0,,,4,,,,,,
27,0_2,2013,0,2012,4,2007,0,0,Male,1,PHYSICS AND MATHEMATICS,Peking University,Princeton University,,USA,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,57279.449,105440.33,,0,,,113,26,5.0,,,1,,,,,,
