treat,condition,teamsize_mean,grant_mean
0,returnyear<year,2.403959708232025,44418.37303006996
0,returnyear>year,0.3087330873308733,4291.157122649798
1,returnyear<year,3.9898819561551435,186024.753544178
1,returnyear>year,0.1452249408050513,1114.8382004735595
