returnyear,teamsize_sum,teamsize_nlg_sum,teamsize_mean,teamsize_nlg_mean
2010,95.0,126.0,1.3380281690140845,1.7746478873239437
2011,3179.0,3816.0,2.5130434782608697,3.016600790513834
2012,4701.0,5829.0,1.71007639141506,2.12040742088032
2013,2553.0,3130.0,1.522361359570662,1.866428145497913
2014,244.0,281.0,1.8345864661654134,2.112781954887218
2015,11.0,38.0,0.5238095238095238,1.8095238095238095
